Continent_Name,Year,GDP_per_capita
Africa,1960,179.65937681492167
Asia,1960,636.4738614221543
Europe,1960,1782.3477078136505
North America,1960,731.484666151978
Oceania,1960,935.8448069733851
South America,1960,404.41305505660677
Africa,1961,183.0439711673771
Asia,1961,649.3774256639693
Europe,1961,1846.2230486902267
North America,1961,747.3509159407961
Oceania,1961,942.381583124642
South America,1961,439.4867566980285
Africa,1962,188.8037699889183
Asia,1962,642.877868856159
Europe,1962,1916.823257122048
North America,1962,771.1170108105683
Oceania,1962,948.2327199704113
South America,1962,451.23792385100415
Africa,1963,202.93016510317636
Asia,1963,650.5935316553396
Europe,1963,1998.4058927377155
North America,1963,798.7302769946937
Oceania,1963,966.8387672807781
South America,1963,453.94064310573964
Africa,1964,213.88368424051424
Asia,1964,662.6004405614893
Europe,1964,2123.888720132775
North America,1964,838.1602057574943
Oceania,1964,990.7163367722109
South America,1964,497.6749267928067
Africa,1965,227.24263170961603
Asia,1965,666.7129640277545
Europe,1965,2229.253047980898
North America,1965,880.7632117412535
Oceania,1965,959.5625933179565
South America,1965,515.6754833198214
Africa,1966,238.79952757316897
Asia,1966,691.1135357885175
Europe,1966,2341.040012995287
North America,1966,940.1466412668052
Oceania,1966,987.8113931780731
South America,1966,539.729367685884
Africa,1967,244.67644880891683
Asia,1967,696.0198249821091
Europe,1967,2415.946749260988
North America,1967,994.6271560251527
Oceania,1967,1010.2684981421372
South America,1967,527.3744149564238
Africa,1968,262.1515868729085
Asia,1968,730.4685331031731
Europe,1968,2449.7090306502205
North America,1968,1044.0573271762642
Oceania,1968,1038.7234431526815
South America,1968,536.144625963698
Africa,1969,278.43684065832997
Asia,1969,760.3855473779097
Europe,1969,2595.7090451526956
North America,1969,1115.5383519540935
Oceania,1969,1079.729416606683
South America,1969,591.2799390531434
Africa,1970,284.0556220094173
Asia,1970,790.94663319429
Europe,1970,2813.8688184134903
North America,1970,1178.6317778152002
Oceania,1970,1171.8420373563151
South America,1970,618.6235729913739
Africa,1971,302.6125992835905
Asia,1971,882.4105443621029
Europe,1971,3140.3042381957925
North America,1971,1281.0391493069308
Oceania,1971,1282.8875657161643
South America,1971,678.7483195582985
Africa,1972,343.0066763842983
Asia,1972,1054.0409087530397
Europe,1972,3762.5217555844138
North America,1972,1406.3628537428958
Oceania,1972,1439.906783248254
South America,1972,699.7605842806846
Africa,1973,432.03380787737916
Asia,1973,1524.6583944496695
Europe,1973,4834.054286538915
North America,1973,1590.7458734545112
Oceania,1973,1716.5385972112526
South America,1973,921.9143632314563
Africa,1974,571.2607546941591
Asia,1974,3292.3485622791773
Europe,1974,5529.292000821033
North America,1974,1810.6842386008054
Oceania,1974,2116.6436016861535
South America,1974,1159.3750059958265
Africa,1975,615.8682700249798
Asia,1975,3386.7600156901335
Europe,1975,6406.6680562485935
North America,1975,1984.5270241813291
